open,high,low,close,volume,Name,EMA14,EMA20,EMA50,EMA100,EMA200,cross,cross_14,cross_20,cross_50,cross_100,cross_200,prev_cross,prev_cross_14,prev_cross_20,prev_cross_50,prev_cross_100,prev_cross_200
73.01,73.71,72.82,73.31,2000477,ACN,73.31,73.31,73.31,73.31,73.31,0,0,0,0,0,0,0,0,0,0,0,0
73.09,73.27,72.1,73.07,1880055,ACN,73.278,73.28714285714287,73.30058823529411,73.30524752475247,73.30761194029851,0,0,0,0,0,0,0,0,0,0,0,0
72.89,73.495,72.58,73.37,1710274,ACN,73.29026666666668,73.29503401360546,73.30331026528258,73.3065297519851,73.30823271701196,1,1,1,1,1,1,0,0,0,0,0,0
73.32,73.71,73.2,73.56,1884631,ACN,73.32623111111113,73.32026886945256,73.31337652938915,73.31154896481706,73.31073786410637,0,0,0,0,0,0,1,1,1,1,1,1
73.21,73.5,72.66,73.13,2096346,ACN,73.30006696296297,73.30214802474279,73.30618529294252,73.30795393581079,73.30893947739885,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
73.08,74.16,73.0,74.16,3221961,ACN,73.41472470123458,73.38384821286252,73.33966822263105,73.32482613510166,73.31740774130533,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1
74.28,75.46,73.83,75.4,2787513,ACN,73.6794280744033,73.57586266878037,73.42046554723375,73.36591868688183,73.33813005233712,0,0,0,0,0,0,1,1,1,1,1,1
75.4,75.97,75.0,75.0,2641312,ACN,73.85550433114953,73.7114947955632,73.48240807479321,73.39827673268614,73.35466607171686,0,0,0,0,0,0,0,0,0,0,0,0
74.69,74.75,73.45,73.85,2647515,ACN,73.8547704203296,73.72468576741431,73.49682344440916,73.40722174788047,73.35959476752069,-1,-1,0,0,0,0,0,0,0,0,0,0
74.15,74.8,73.95,74.8,1930654,ACN,73.98080103095232,73.8270966467082,73.54792840737352,73.43480151524918,73.37392715789362,1,1,0,0,0,0,-1,-1,0,0,0,0
75.17,75.52,73.91,73.91,2836095,ACN,73.971360893492,73.83499220416456,73.56212729335888,73.44421138623434,73.37926121602403,-1,-1,0,0,0,0,1,1,0,0,0,0
74.32,74.68,73.55,73.83,1970561,ACN,73.95251277435973,73.8345167561489,73.57263210538402,73.45185076472475,73.38374617904867,0,0,-1,0,0,0,-1,-1,0,0,0,0
74.0,74.63,73.39,74.41,2201042,ACN,74.01351107111178,73.88932468413472,73.60547006203564,73.47082401690842,73.39395765985417,1,1,1,0,0,0,0,0,-1,0,0,0
74.52,75.14,74.27,74.36,2366121,ACN,74.05970959496354,73.93415090469333,73.63505947136758,73.48843146211816,73.40357002144766,0,0,0,0,0,0,1,1,1,0,0,0
74.13,74.95,73.62,74.82,1678154,ACN,74.1610816489684,74.01851748519871,73.68152772739239,73.5147991559376,73.41766385208003,0,0,0,0,0,0,0,0,0,0,0,0
74.53,75.28,74.25,75.24,1825682,ACN,74.30493742910595,74.13484915327503,73.7426442871025,73.54896154888934,73.43579655006928,0,0,0,0,0,0,0,0,0,0,0,0
75.56,77.0,75.5,76.92,2523071,ACN,74.6536124385585,74.40010161486788,73.867246471922,73.615714785545,73.47046524111337,0,0,0,0,0,0,0,0,0,0,0,0
77.03,77.6,76.92,77.41,2000048,ACN,75.02113078008402,74.68675860392808,74.00617798282703,73.69084914622727,73.50966459194807,0,0,0,0,0,0,0,0,0,0,0,0
77.29,77.835,76.87,77.57,2565710,ACN,75.36098000940615,74.9613530226016,74.14593570899068,73.7676640146188,73.55006593929187,0,0,0,0,0,0,0,0,0,0,0,0
77.98,78.46,77.39,78.35,1878456,ACN,75.75951600815199,75.28408130616336,74.31080097530477,73.858403341062,73.59782647720937,0,0,0,0,0,0,0,0,0,0,0,0
78.38,78.43,77.63,78.3,1752106,ACN,76.09824720706506,75.57131165795732,74.46724015274381,73.94635575014988,73.64461427345604,0,0,0,0,0,0,0,0,0,0,0,0
78.26,78.4,77.63,78.02,1645569,ACN,76.35448091278971,75.80452007148519,74.6065640683225,74.02702197291919,73.68815044983957,0,0,0,0,0,0,0,0,0,0,0,0
